,species,median_weight,species_dfo
1,REBS,1.804438406,rougheye/blackspotted rockfish complex
2,black,1.398736842,
3,bocaccio,4.284535632,bocaccio
4,brown,0.88,
5,canary,1.834736842,
6,china,0.75375947,
7,copper,1.082142857,
8,deacon,1.33,
9,dusky-dark,1.676,dusky rockfish
10,greenstriped,0.533846154,
11,lingcod,7.520352941,lingcod
12,puget_sound,0.44,puget sound rockfish
13,pygmy,0.152191781,
14,quillback,1.099732143,
15,redbanded,1.928448176,
16,redstripe,0.665,
17,rosethorn,0.480792779,
18,sebastolobus,1.379375,
19,sharpchin,0.615384615,
20,shortbelly,0.25,
21,shortraker,5.24,
22,silvergray,2.389337349,
23,splitnose,0.760353407,
24,stripetail,0.5,
25,tiger,1.293912281,
26,vermillion,2.21047619,vermilion rockfish
27,widow,2.18,
28,yelloweye,3.284032258,
29,yellowtail,1.485,